Timestamp,In Game Name,Discord or Facebook Name,Friend Code Only (Copy/Paste from in game),What areas do you primarily play in?,Team
3/13/2019 21:28:04,00link0,0link0,3495 8966 6666,"Mad Far East, Mad Near East, Cottage Grove, Sun Prairie",Instinct
6/27/2018 1:29:58,25DMAN,Donavan,9076 8190 2392,"Mad Far East, Mad Near East",Valor
8/26/2018 21:35:13,3773zbellz,Elle Pattie,9034 6988 2526,"Mad Campus, Mad South",Valor
8/26/2018 21:35:22,3773zbellz,Elle Pattie,9034 6988 2526,"Mad Campus, Mad South",Valor
7/14/2018 20:03:10,420Doja,doja420,420Doja,"Mad Far East, Mad Near East, Cottage Grove, McFarland",Instinct
7/14/2018 20:03:23,420Doja,doja420,420Doja,"Mad Far East, Mad Near East, Cottage Grove, McFarland",Instinct
7/14/2018 20:05:21,420Doja,doja420,3792 2612 4861,"Mad Far East, Mad Near East, Cottage Grove, McFarland, Sun Prairie",Instinct
8/22/2018 2:25:36,420Doja,Doja420,3792 2612 4861,"Mad Near East, Cottage Grove, McFarland",Instinct
9/23/2018 15:28:40,50ShadesOfDan,50ShadesOfDan,9941 4658 0270,Mad Campus,Mystic
12/12/2018 13:53:34,a,a,a,,Instinct
9/3/2018 7:48:49,Aaya6,Aaya6,2205 3561 4702,"Middleton, Verona",Valor
6/26/2018 17:05:20,acetheinvader,acetheinvader,9474 3902 0522,"Mad Campus, Mad Isthmus, Mad Near West, Middleton",Instinct
12/28/2018 13:46:31,AdoraReigns,AdoraReigns (Discord) Niketa Rae (Facebook),5920 7593 3696,"Mad Far West, Mad Near West, Middleton",Mystic
6/26/2018 20:56:36,Aewert14,Aewert14,4399 3874 7402,"Mad South, Mad Near West, Fitchburg, Middleton",Valor
11/22/2018 17:02:47,AhniZoe,AhniZoe,0265 3983 0404,"Mad Campus, Mad Far East, Mad North East, Mad North, Sun Prairie",Mystic
3/2/2019 23:08:51,AJEggen,B/C I’m Batman,3569 4699 4379,Sun Prairie,Valor
8/20/2018 16:51:29,Akayra,Akayra,9722 1949 7259,"Mad Far West, Fitchburg, Middleton",Mystic
10/15/2018 23:01:19,Alecnit,Broseidon25 ,9577 0470 4034,Mad Campus,Instinct
2/5/2019 10:33:30,Alexjf56,Alexjf56,9723 0366 8596,Mad Campus,Mystic
7/27/2018 17:04:06,alimanwich,alimanwich,5157 6192 4296,"Mad Campus, Mad Isthmus, Mad Near East, Monona",Valor
10/29/2018 21:45:38,AllegiantNRG,Allegiance#2894,3596 1062 8038,Verona,Valor
7/7/2018 15:23:30,AllHaleAlpha24,AllHaleAlpha,2342 6442 0055,"Mad Campus, Mad Isthmus, Verona",Mystic
7/28/2018 9:29:27,Allieolie,Allison McDaniel,9863 8796 9612,"Mad Campus, Mad Far West, Mad Near West, Middleton, Sauk City",Valor
2/15/2019 10:52:37,allyburg,Ally Burg,7227 0900 2539,"Mad Campus, Mad Near West",Mystic
9/27/2018 9:31:07,Alouisew,Louielouie,2040 2648 4411,"Mad Campus, Mad Isthmus, St. Paul, MN",Valor
6/26/2018 17:14:38,AlphaBrainchild,AlphaBrainchild,7153 8857 5372,"Mad Campus, Lodi",Valor
9/27/2018 20:29:33,AlphaBrainchild,AlphaBrainchild, 7153 8857 5372,"Mad Campus, Lodi",Valor
8/23/2018 9:49:06,Anderwolfe,Anderwolfe,987489101587,"Mad Campus, Mad Isthmus",Mystic
10/29/2018 11:39:07,Angelerdooodles,Angelerdoodles,5435 7875 6434,"Mad Campus, Mad North, Middleton, Monona",Instinct
11/25/2018 11:40:34,AngelofLight47,Aapurreee,6979 0433 8486,Mad Campus,Valor
8/21/2018 18:23:38,aob5506,andrew.e.boynton,8285 9174 5202,"Mad Isthmus, Mad Far East, Mad North, Mad Near West, Waunakee",Valor
8/12/2018 10:14:54,ArcherSaur,Benjamin Archer,2798 9601 1777,"Mad Campus, Mad Isthmus, Mad Near East, Mad Near West, Monona",Mystic
6/26/2018 16:07:12,AremRae,AremRae,1453 8719 7359,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North, Mad South, Mad Near West",Valor
1/15/2019 23:54:10,Ariana8898,Ariana8898,6148 6307 3374,"Mad Campus, Mad South, Monona",Mystic
7/3/2018 10:47:01,arigaby,arigaby,3400 2763 5932,"Mad Campus, Mad Isthmus",Mystic
8/22/2018 19:03:33,Arvesse,Arvesse,8944 9798 8845,Mad Near West,Mystic
12/7/2018 11:58:39,ashio2012,ashlynhu,4592 9816 1509,Middleton,Mystic
1/5/2019 12:39:19,ASHpaperTIGER,ASHpaperTIGER,8923 2854 4016,Sun Prairie,Valor
8/21/2018 12:34:36,Asperelow,Asperelow,6022 3161 6364,Platteville,Mystic
7/29/2018 16:14:02,Assassinskin4,Assassinskin5,5658 0265 3324,"Mad Far East, Mad Near East, Mad North East, Mad North",Instinct
7/2/2018 0:05:56,avatardante,avatardante,4862 2790 8194,"Mad Campus, Mad South, Mad Far West, Mad Near West, Fitchburg, Middleton, Verona",Mystic
6/27/2018 18:58:50,Awesomellamas24,Awesomellamas24,77227481215,Mad Near West,Instinct
8/23/2018 14:55:56,Azraeu2,Azraeuz ,4422 2877 8261,"Mad Far West, Mad Near West, Fitchburg, Middleton",Instinct
8/18/2018 13:17:21,Badgervet6117,Badgervet6117,7117 8357 3924,"Mad Campus, Mad Far West, Mad Near West",Mystic
8/19/2018 10:57:09,Badgervet6117,Badgervet6117,711783573924,"Mad Campus, Mad Isthmus, Mad Near East, Mad North, Mad Far West, Mad Near West, Fitchburg, Middleton, Sun Prairie",Mystic
9/5/2018 22:48:26,Baenath,Baenath,4570 3281 6733,"Mad Far East, Mad North",Instinct
10/16/2018 13:50:18,BatchConvex,BatchConvex,54866769509,"Mad Campus, Mad Near West",Mystic
7/27/2018 16:17:59,BayesianFactor,ArtHellsing,0124 0195 0374,"Mad Campus, Mad Isthmus",Instinct
7/26/2018 8:47:10,Bayger91,Jheinemanpieper,7956 3966 5751,"Mad Campus, Mad Near East, Mad South, Mad Near West, Fitchburg",Mystic
7/30/2018 10:23:57,Baygerluvr,Shawna,1068 1978 1126,"Mad Isthmus, Mad South, Fitchburg",Mystic
8/25/2018 14:40:58,BeachedFatKid,BeachedFatKid,0446 1524 6535,"Mad Campus, Mad Near West, Epic",Instinct
4/11/2019 2:25:02,Beardmaster5988,Jamie5988,7992 9297 5279,"Mad Isthmus, Mad South, DeForest / Windsor, Poynette",Valor
8/22/2018 19:59:24,Beardside,Beardside,5641 4342 5859,"Mad Isthmus, Mad Near East, Mad North East, Monona",Instinct
12/19/2018 22:25:39,Bearsrnum1 ,Bearsrnum1@gmail.com ,5495 3919 8412,Cottage Grove,Valor
8/24/2018 13:33:33,BelleChristine,BelleChristine,879545646174,"Mad Campus, Mad North, Mad Far West, Mad Near West, Fitchburg, Middleton",Mystic
8/23/2018 11:08:26,Ben,Ben14689,5973 8368 7256,"Mad Campus, Mad Isthmus, Mad South, Fitchburg",Mystic
10/17/2018 20:50:47,Ben Ostrom,Btchpuddin,5973 8368 7256,Mad South,Mystic
8/1/2018 12:18:32,BenDKneee,Apoc,9780 3814 8399,"Mad Isthmus, Mad Near East, Mad Near West, Monona",Instinct
8/4/2018 21:17:44,BettyAnn56,BettyAnn57,3897 2867 3899,"Mad Far West, Middleton, Sauk Prairie",Valor
2/23/2019 20:20:46,bigj2433,Jared Reuter,848391989479,Fitchburg,Instinct
8/28/2018 13:46:34,Billy12x35 ,dillpickels,5616 6145 5377,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Epic, Middleton, Verona",Valor
7/17/2018 13:26:35,Billybob4678,1LostBadger,524721148210,"Mad Campus, Fitchburg, Oregon",Mystic
10/23/2018 15:29:00,BiochemBrian,icefire,2444 4321 3764,"Mad Campus, Mad Isthmus, Mad Near East, Mad Near West",Mystic
1/11/2019 17:12:58,bionerd88,KansanWisconsinite,0815 2239 0698,"Mad Campus, Mad South",Mystic
7/8/2018 12:06:21,Bivens08,Eric Lehn,834722590652,Mad North East,Mystic
7/8/2018 12:06:46,Bivens08,Eric Lehn,834722590652,Mad North East,Mystic
8/24/2018 18:41:12,bkoca84,pseudohero,841456585813,"Mad Far East, Mad Near East, Cottage Grove, American Family Insurance",Mystic
8/5/2018 0:45:02,Blackavengerx,Nytsegai,1204 9346 3994,"Mad Far West, Beloit",Mystic
7/6/2018 14:40:49,blakeydead,@articskoll on discord,7086 1460 9382,burlington ,Valor
6/27/2018 1:21:12,Blazeitup608,Jordan lofty Lofton,7849 2109 8899,"Mad North East, Mad Near West, McFarland",Instinct
9/15/2018 10:23:24,BlkJedaii,Jedaii#9004,2672 3449 8068,"Mad Campus, Mad Near West, Watertown",Instinct
1/31/2019 6:43:52,BluMadison,BluMadison,7992 4423 4872,"Mad Campus, Mad Isthmus, Mad South, Monona",Mystic
9/3/2018 11:38:14,bobdole2016,sheetboxperson,661509139691,"Mad South, Mad Far West, Fitchburg",Mystic
7/1/2018 20:22:45,BoldButBrash,IGotTwoWienz,4888 7986 7139,"Mad Near West, Fitchburg, Verona",Mystic
4/9/2019 14:24:56,Bolly52,Bolly52,2296 0672 1238,"Mad Campus, Fitchburg, Monona, Sun Prairie",Valor
6/27/2018 19:13:36,BombTosley,BombTosley,4966 4497 1313,"Mad Campus, Mad Far West, Mad Near West, Fitchburg",Valor
8/22/2018 10:36:41,BoostedPhillip,Phillip,944634588261,"Mad Campus, Mad Isthmus",Mystic
9/11/2018 9:46:18,Bowinga,Bojac6,6700 9310 0353,"Mad Far West, Fitchburg",Mystic
10/29/2018 22:45:14,Brett212121,Woodland Christmas Critters,848521302345,Mad Isthmus,Valor
10/29/2018 22:50:14,Brett212121,Woodland Christmas Critters,8485 2130 2345,Mad Isthmus,Valor
7/8/2018 9:14:40,Brian1981C,bcrounse,9386 7819 6954,Verona,Mystic
8/13/2018 1:45:58,BrownDog1102,browndog1102,3602 6726 9213,"Mad Campus, Mad Isthmus, Mad Near East, Sun Prairie",Instinct
6/26/2018 14:37:13,bryguy47,bryguy47,8970 3066 9037,Mad Campus,Instinct
6/26/2018 18:49:09,BryRot,BryRot,4126 0921 1216,"Mad Isthmus, Mad Near East",Mystic
8/26/2018 22:22:29,BSgo1024,BSgo1024 34,4356 7953 4249,Mad Campus,Valor
7/7/2018 20:57:49,BubbeFett,Jess,956773183977,"Mad Far West, Mad Near West, Middleton, Oregon",Instinct
8/23/2018 11:19:36,BuckeyeBadger24,LordTrolldemort,537222687585,"Mad Campus, Mad Isthmus, Mad South",Instinct
6/27/2018 3:25:33,BuggTheCat,Dasterne (discord),3827 2761 0165,"Mad Campus, Mad Isthmus, Mad Near East, Mad Near West",Instinct
10/23/2018 10:16:24,Cahpper,Cahpper,2689 5115 3712,"Mad Campus, Mad Far West, Middleton",Mystic
8/20/2018 21:42:56,CalebGoessling,Caleb Goessling,8745 3165 8672,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Mad Far West, Mad Near West, Fitchburg",Valor
8/25/2018 18:00:55,Califuz,CaliFuzz,5151 0817 6758,"Epic, Middleton, Verona, Waunakee",Valor
8/23/2018 11:23:18,CallahanDesign,Callahandesign,172069338409,"Mad Isthmus, Mad Near East, Mad North East",Mystic
1/5/2019 4:45:30,Captainluigi22,Professor Chansey,3171 4145 8955,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Columbus",Mystic
8/20/2018 18:27:10,CaroEllenPDX,CaroEllenPDX,9910 6683 0555,"Mad Isthmus, Mad Near East, Epic",Valor
8/23/2018 14:27:47,Case8716,Case8716,3006 8688 5158,"Fitchburg, Middleton",Valor
8/28/2018 11:32:55,Cassel60,DoucheNuts69 ,3839 2130 1632,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Middleton",Valor
7/24/2018 7:25:57,CasualScience,Brandondhinrichs,2010 0929 5625,"Mad Campus, Mad Near West, Fitchburg",Valor
12/30/2018 10:28:23,CatchAtchem,Ian Walsh-Rynders,788642360872,"Mad Isthmus, Mad Far West, Mad Near West",Valor
6/26/2018 21:53:36,Chandraspirit,Lisa schroeder,7735 6954 4242,"Mad Isthmus, Mad North East",Valor
7/7/2018 16:43:18,ChantelleClaire,schucc12,7751 0930 2831,"Mad Campus, Mad Far East, Mad Near East, Mad South, Mad Far West, Mad Near West, Fitchburg, Monona",Instinct
7/23/2018 8:10:02,Cheeseman777,Cheeseman777,4771 4830 2046,Mad Isthmus,Valor
8/24/2018 13:43:29,Cheeseman777,Cheeseman777,4771 4830 2046,Mad Isthmus,Valor
12/28/2018 19:24:15,Chels523,Chelsea schmit ,0159 0550 9160,"Janesville, Evansville Brodhead ",Instinct
